Date,Open,High,Low,Close,Adj Close,Volume
2020-11-18,3134.0,3140.0,3105.10009765625,3105.4599609375,3105.4599609375,2916800
2020-11-19,3105.31005859375,3125.0,3080.919921875,3117.02001953125,3117.02001953125,3010300
2020-11-20,3117.02001953125,3132.889892578125,3098.050048828125,3099.39990234375,3099.39990234375,3374400
2020-11-23,3116.699951171875,3139.75,3065.4599609375,3098.389892578125,3098.389892578125,4708900
2020-11-24,3100.5,3134.25,3086.260009765625,3118.06005859375,3118.06005859375,3602100
2020-11-25,3141.8701171875,3198.0,3140.260009765625,3185.070068359375,3185.070068359375,3790400
2020-11-27,3211.260009765625,3216.18994140625,3190.050048828125,3195.340087890625,3195.340087890625,2392900
2020-11-30,3208.47998046875,3228.389892578125,3125.550048828125,3168.0400390625,3168.0400390625,4063900
2020-12-01,3188.5,3248.949951171875,3157.179931640625,3220.080078125,3220.080078125,4544400
2020-12-02,3221.64990234375,3232.0,3173.260009765625,3203.530029296875,3203.530029296875,3129300
2020-12-03,3205.4599609375,3228.639892578125,3181.31005859375,3186.72998046875,3186.72998046875,2892000
2020-12-04,3198.2099609375,3198.2099609375,3158.760009765625,3162.580078125,3162.580078125,2913600
2020-12-07,3156.47998046875,3180.760009765625,3141.68994140625,3158.0,3158.0,2751300
2020-12-08,3158.89990234375,3184.1298828125,3120.02001953125,3177.2900390625,3177.2900390625,3286300
2020-12-09,3167.889892578125,3174.429931640625,3088.0,3104.199951171875,3104.199951171875,4100800
2020-12-10,3088.989990234375,3142.10009765625,3076.0,3101.489990234375,3101.489990234375,3030200
2020-12-11,3096.659912109375,3118.669921875,3072.820068359375,3116.419921875,3116.419921875,3064700
2020-12-14,3143.0,3190.469970703125,3126.0,3156.969970703125,3156.969970703125,4155800
2020-12-15,3181.010009765625,3188.5,3130.489990234375,3165.1201171875,3165.1201171875,3323700
2020-12-16,3176.010009765625,3247.0,3163.679931640625,3240.9599609375,3240.9599609375,4427600
2020-12-17,3250.0,3263.510009765625,3221.0,3236.080078125,3236.080078125,3468600
