Datetime,Open,High,Low,Close,Adj Close,Volume
2020-11-17 09:30:00-05:00,454.875,456.409912109375,453.04998779296875,453.2099914550781,453.2099914550781,6364796
2020-11-17 09:32:00-05:00,453.39190673828125,458.5299987792969,453.230712890625,454.4100036621094,454.4100036621094,1336456
2020-11-17 09:34:00-05:00,454.32000732421875,454.5075988769531,450.75,453.0,453.0,1275593
2020-11-17 09:36:00-05:00,452.92999267578125,455.010009765625,451.57000732421875,453.9200134277344,453.9200134277344,1001921
2020-11-17 09:38:00-05:00,454.1400146484375,456.29998779296875,452.5,455.7947082519531,455.7947082519531,914933
2020-11-17 09:40:00-05:00,455.92999267578125,459.5398864746094,455.25,459.09991455078125,459.09991455078125,1057752
2020-11-17 09:42:00-05:00,458.9700012207031,462.0,458.3500061035156,460.0194091796875,460.0194091796875,1438627
2020-11-17 09:44:00-05:00,460.0194091796875,461.7200012207031,456.6700134277344,456.8999938964844,456.8999938964844,852454
2020-11-17 09:46:00-05:00,456.79998779296875,459.30999755859375,456.6206970214844,458.606689453125,458.606689453125,530031
2020-11-17 09:48:00-05:00,458.55999755859375,459.0799865722656,455.5000915527344,455.9049987792969,455.9049987792969,547446
2020-11-17 09:50:00-05:00,455.9049987792969,457.3099060058594,453.6499938964844,454.2699890136719,454.2699890136719,566983
2020-11-17 09:52:00-05:00,454.2449951171875,455.4783020019531,453.20001220703125,453.659912109375,453.659912109375,466759
2020-11-17 09:54:00-05:00,453.5531005859375,456.7799987792969,453.5,456.5,456.5,495025
2020-11-17 09:56:00-05:00,456.3800048828125,456.4800109863281,452.4200134277344,452.80999755859375,452.80999755859375,467522
2020-11-17 09:58:00-05:00,452.8349914550781,453.20001220703125,447.41680908203125,447.7300109863281,447.7300109863281,1135954
2020-11-17 10:00:00-05:00,447.8949890136719,450.7200012207031,447.8450012207031,448.48748779296875,448.48748779296875,724679
2020-11-17 10:02:00-05:00,448.5643005371094,449.4989929199219,445.29998779296875,445.4100036621094,445.4100036621094,751400
2020-11-17 10:04:00-05:00,445.4273986816406,446.2698974609375,442.6300048828125,442.8500061035156,442.8500061035156,1012391
2020-11-17 10:06:00-05:00,442.8500061035156,445.57000732421875,441.7300109863281,445.3999938964844,445.3999938964844,878956
2020-11-17 10:08:00-05:00,445.45001220703125,446.25,444.0400085449219,445.3699951171875,445.3699951171875,521960
2020-11-17 10:10:00-05:00,445.3699951171875,447.8500061035156,445.239990234375,447.6449890136719,447.6449890136719,626843
2020-11-17 10:12:00-05:00,447.7047119140625,448.69000244140625,447.260009765625,448.5552978515625,448.5552978515625,527352
2020-11-17 10:14:00-05:00,448.5003967285156,448.6199035644531,446.2401123046875,446.30999755859375,446.30999755859375,391621
2020-11-17 10:16:00-05:00,446.260009765625,447.2950134277344,445.20001220703125,447.2236022949219,447.2236022949219,408586
2020-11-17 10:18:00-05:00,447.2934875488281,447.7799987792969,445.8299865722656,446.5351867675781,446.5351867675781,322912
2020-11-17 10:20:00-05:00,446.5,449.3999938964844,445.54998779296875,449.0199890136719,449.0199890136719,427476
2020-11-17 10:22:00-05:00,449.0141906738281,450.7900085449219,448.6099853515625,449.6875,449.6875,582441
2020-11-17 10:24:00-05:00,449.760009765625,450.8800048828125,449.010009765625,449.3370056152344,449.3370056152344,407879
2020-11-17 10:26:00-05:00,449.29998779296875,451.7900085449219,449.1000061035156,450.55499267578125,450.55499267578125,411906
