Date,Open,High,Low,Close,Adj Close,Volume
2020-11-23,503.5,526.0,501.7900085449219,521.8499755859375,521.8499755859375,50260300
2020-11-24,540.4000244140625,559.989990234375,526.2000122070312,555.3800048828125,555.3800048828125,53648500
2020-11-25,550.0599975585938,574.0,545.3699951171875,574.0,574.0,48930200
2020-11-27,581.1599731445312,598.780029296875,578.4500122070312,585.760009765625,585.760009765625,37561100
2020-11-30,602.2100219726562,607.7999877929688,554.510009765625,567.5999755859375,567.5999755859375,63003100
2020-12-01,597.5900268554688,597.8499755859375,572.0499877929688,584.760009765625,584.760009765625,40382800
2020-12-02,556.4400024414062,571.5399780273438,541.2100219726562,568.8200073242188,568.8200073242188,47775700
2020-12-03,590.02001953125,598.969970703125,582.4299926757812,593.3800048828125,593.3800048828125,42552000
2020-12-04,591.010009765625,599.0399780273438,585.5,599.0399780273438,599.0399780273438,29401300
2020-12-07,604.9199829101562,648.7899780273438,603.0499877929688,641.760009765625,641.760009765625,56309700
2020-12-08,625.510009765625,651.280029296875,618.5,649.8800048828125,649.8800048828125,64265000
2020-12-09,653.6900024414062,654.3200073242188,588.0,604.47998046875,604.47998046875,71291200
2020-12-10,574.3699951171875,627.75,566.3400268554688,627.0700073242188,627.0700073242188,67083200
2020-12-11,615.010009765625,624.0,596.7999877929688,609.989990234375,609.989990234375,46475000
2020-12-14,619.0,642.75,610.2000122070312,639.8300170898438,639.8300170898438,52040600
2020-12-15,643.280029296875,646.9000244140625,623.7999877929688,633.25,633.25,45223600
2020-12-16,628.22998046875,632.5,605.0,622.77001953125,622.77001953125,42095800
2020-12-17,628.1900024414062,658.8200073242188,619.5,655.9000244140625,655.9000244140625,56270100
2020-12-18,668.9000244140625,695.0,628.5399780273438,695.0,695.0,222126200
2020-12-21,666.239990234375,668.5,646.0700073242188,649.8599853515625,649.8599853515625,57876300
